Site ID,Program Code,Program Name,Address 1,Address 2,Program Type,Enrollment,Daily Start Time,Length of Pre-K Day,Early Drop-Off Available,Late Pick-Up Available,Meals,Playspace,Dual Language,Collaborative Teachers - Survey Percent Positive,Supportive Environment - Survey Percent Positive,Effective School Leadership - Survey Percent Positive,Strong Family-Community Ties - Survey Percent Positive,Trust - Survey Percent Positive,Survey - Number of Guardian Responses,Survey - Guardian Response Rate,CLASS Most Recent Assessment Year,CLASS Emotional Support Score,CLASS Emotional Support Rating,CLASS Classroom Organization Score,CLASS Classroom Organization Rating,CLASS Instructional Support Score,CLASS Instructional Support Rating,ECERS Most Recent Assessment Year,ECERS Observation Average Score,ECERS Observation Average Rating,ECERS Language Reasoning Score,ECERS Language Reasoning Rating,ECERS Interaction Score,ECERS Interaction Rating,ECERS Activities Score,ECERS Activities Rating,ECERS Personal Care Routines Score,ECERS Personal Care Routines Rating,ECERS Space and Furnishings Score,ECERS Space and Furnishings Rating,ECERS Program Structure Score,ECERS Program Structure Rating,Quality Review - Date of Review,Quality Review - How well do teachers work with each other?
25Q169,27Q062,P.S. 62 - Chester Park School,97-25 108th Street,"SOUTH RICHMOND HILL, NY 11419",District School,36,1899-12-31T08:00:00.000,Full day,true,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,92%,89%,90%,89%,92%,31,89%,2015-16 School Year,7.0,4,6.7,4,4.1,3,2014-15 School Year,5,4,6.3,4,5.6,4,6,4,2.7,3,5,4,3.3,2,"March 05, 2015",4
25Q184,27Q063,P.S. 63 Old South,90-15 Sutter Avenue,"OZONE PARK, NY 11417",District School,36,1899-12-31T08:05:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,87%,93%,97%,88%,82%,9,26%,2015-16 School Year,6.7,4,6.5,4,4.2,3,2014-15 School Year,4.7,3,4.5,3,7,4,4.6,3,3.7,3,4.6,3,3.7,3,"January 08, 2015",4
25Q193,27Q066,P.S. 66 Jacqueline Kennedy Onassis,85-11 102nd Street,"RICHMOND HILL, NY 11418",District School,36,1899-12-31T08:15:00.000,Full day,false,false,Breakfast/Lunch,Outdoor (onsite) playspace,,93%,100%,100%,98%,100%,35,100%,N/A,,,,,,,2016-17 School Year,3.8,3,5.5,4,3.2,2,5.3,4,2.3,3,3.5,3,1.7,1,"January 29, 2015",4
25Q200,27Q090,P.S. 90 Horace Mann,86-50 109th Street,"RICHMOND HILL, NY 11418",District School,36,1899-12-31T08:15:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,84%,97%,95%,97%,98%,15,43%,2015-16 School Year,6.8,4,6.6,4,3.6,3,2014-15 School Year,5.3,4,5.3,4,7,4,6.1,4,2.6,3,4.5,3,6.3,4,"February 24, 2015",3
25Q201,27Q096,P.S. 96,130-01 Rockaway Boulevard,"SOUTH OZONE PARK, NY 11420",District School,34,1899-12-31T08:15:00.000,Full day,true,true,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,84%,100%,99%,96%,99%,22,65%,2016-17 School Year,6.9,4,6.9,4,5.9,4,2014-15 School Year,4.4,3,5.3,4,6,4,4.1,3,2.7,3,4.3,3,6,4,"May 24, 2016",3
25Q209,27Q097,P.S. 97 Forest Park,85-52 85th Street,"WOODHAVEN, NY 11421",District School,37,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,87%,92%,92%,96%,94%,13,36%,2016-17 School Year,6.7,4,6.5,4,3.3,3,2014-15 School Year,4.6,3,6.3,4,6.8,4,5.2,4,1.7,2,4.4,3,3.3,2,"January 08, 2016",3
25Q214,27Q100,P.S. 100 Glen Morris,111-11 118th Street,"SOUTH OZONE PARK, NY 11420",District School,69,1899-12-31T08:15:00.000,Full day,false,false,Breakfast/Lunch,Please contact site for more information,,93%,96%,93%,96%,98%,48,72%,2016-17 School Year,6.9,4,6.9,4,3.8,3,2015-16 School Year,5.2,4,6.5,4,6.6,4,4.9,3,4.3,4,4.1,3,7,4,"February 05, 2016",3
25Q219,27Q104,P.S. 104 The Bays Water,26-01 Mott Avenue,"FAR ROCKAWAY, NY 11691",District School,66,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,96%,100%,99%,96%,98%,33,52%,2015-16 School Year,5.6,3,5.9,3,2.8,2,2014-15 School Year,5.1,4,6.3,4,3.8,3,6.2,4,3.5,3,4.3,3,7,4,"May 07, 2015",3
25Q242,27Q105,P.S. 105 The Bay School,420 Beach 51st Street,"FAR ROCKAWAY, NY 11691",District School,35,1899-12-31T08:15:00.000,Full day,true,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,77%,100%,100%,98%,100%,5,16%,2016-17 School Year,6.9,4,6.9,4,2.6,2,2015-16 School Year,5.3,4,6,4,6.2,4,5.5,4,2.5,3,5.3,4,7,4,"January 01, 2017",3
25Q244,27Q106,P.S. 106,180 Beach 35th Street,"FAR ROCKAWAY, NY 11691",District School,18,1899-12-31T08:20:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,83%,,,,,3,19%,2015-16 School Year,6.9,4,6.6,4,3.1,2,2016-17 School Year,3.1,2,4.8,3,1.2,1,3.7,3,1.7,2,3.4,3,3.7,3,"January 21, 2015",3
25Q499,27Q108,P.S. 108 Captain Vincent G. Fowler,108-10 109th Avenue,"SOUTH OZONE PARK, NY 11420",District School,36,1899-12-31T07:50:00.000,Full day,false,false,Breakfast/Lunch,Outdoor (onsite) playspace,,85%,97%,99%,99%,99%,26,79%,N/A,,,,,,,2016-17 School Year,4.5,3,5,4,5.2,4,5.8,4,2.3,3,4.8,3,1.7,1,"February 05, 2015",4
26Q018,27Q114,P.S. / M.S. 114 Belle Harbor,134-01 Cronston Avenue,"Queens, NY 11694",District School,18,N/A,Full day,false,false,Contact program directly for details,Please contact site for more information,,91%,88%,70%,98%,95%,8,47%,N/A,,,,,,,2016-17 School Year,5.1,4,6,4,5.8,4,5.9,4,3.5,3,3.9,3,6.3,4,"May 01, 2017",4
26Q026,27Q123,P.S. 123,145-01 119th Avenue,"JAMAICA, NY 11436",District School,45,1899-12-31T08:20:00.000,Full day,false,false,Breakfast/Lunch,Outdoor (onsite) playspace,,90%,95%,94%,93%,98%,37,82%,2016-17 School Year,6.4,4,6.3,4,3.8,3,2014-15 School Year,3,2,3.8,3,4,3,2.7,1,1.8,2,2.8,1,4.3,3,"March 10, 2016",3
26Q031,27Q146,P.S. 146 Howard Beach,98-01 159th Avenue,"HOWARD BEACH, NY 11414",District School,18,1899-12-31T08:10:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Outdoor (onsite) playspace,,91%,95%,97%,94%,100%,8,47%,N/A,,,,,,,2016-17 School Year,5.2,4,6.3,4,5.8,4,6.6,4,2.5,3,3.9,3,7,4,"May 18, 2016",4
26Q046,27Q155,P.S. 155,130-02 115th Avenue,"SOUTH OZONE PARK, NY 11420",District School,54,1899-12-31T08:20:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,94%,99%,100%,93%,99%,24,47%,2016-17 School Year,6.9,4,6.7,4,3.6,3,2015-16 School Year,4,3,5,4,3.8,3,5.3,4,1.2,1,3.8,3,5,4,"May 13, 2016",4
26Q115,27Q183,P.S. 183 Dr. Richard R. Green,2-45 Beach 79th Street,"FAR ROCKAWAY, NY 11693",District School,18,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,66%,100%,100%,99%,93%,5,29%,2015-16 School Year,6.9,4,6.7,4,4.1,3,2014-15 School Year,4.7,3,6,4,4.6,3,5.7,4,1.2,1,5.4,4,5.3,4,"March 09, 2015",2
26Q133,27Q197,P.S. 197 The Ocean School,825 Hicksville Road,"FAR ROCKAWAY, NY 11691",District School,54,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,91%,100%,99%,97%,100%,22,42%,2016-17 School Year,6.5,4,6.3,4,2.6,2,2014-15 School Year,4.6,3,5.8,4,4.6,3,5.2,4,2.5,3,4.5,3,5,4,"April 01, 2017",4
26Q159,27Q207,P.S. 207 Rockwood Park,159-15 88th Street,"HOWARD BEACH, NY 11414",District School,52,1899-12-31T08:00:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,89%,95%,93%,95%,93%,28,57%,2014-15 School Year,6.7,4,6.2,4,4.9,3,2016-17 School Year,4.4,3,5.3,4,5.2,4,5.7,4,2.3,3,4.1,3,3.3,2,"December 17, 2014",3
26Q162,27Q223,P.S. 223 Lyndon B. Johnson,125-20 Sutphin Boulevard,"JAMAICA, NY 11434",District School,28,1899-12-31T08:10:00.000,Full day,false,false,Contact program directly for details,Indoor/Outdoor (onsite) playspace,,82%,93%,92%,91%,90%,24,92%,2015-16 School Year,6.7,4,6.5,4,2.5,2,2014-15 School Year,3.7,3,4,3,4.2,3,4.5,3,1.8,2,3.5,3,3.7,3,"January 21, 2015",3
26Q173,27Q253,P.S. 253,1307 Central Avenue,"FAR ROCKAWAY, NY 11691",District School,32,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,82%,92%,89%,88%,93%,17,57%,2016-17 School Year,6.9,4,6.7,4,3,2,2014-15 School Year,3,2,3.3,2,4,3,2.4,1,1.5,2,3.9,3,3.3,2,"November 01, 2016",3
26Q178,27Q254,P.S. 254 - The Rosa Parks School,84-40 101st Street,"RICHMOND HILL, NY 11418",District School,34,1899-12-31T08:30:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,97%,97%,100%,96%,100%,12,39%,2016-17 School Year,7.0,4,6.7,4,2.5,2,2015-16 School Year,5.2,4,6.5,4,6.2,4,5.9,4,2.5,3,5.3,4,4.5,3,"December 01, 2014",4
26Q186,27Q273,P.S. 273,88-07 102nd Street,"RICHMOND HILL, NY 11418",District School,36,N/A,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,90%,98%,96%,93%,98%,29,81%,2016-17 School Year,6.9,4,6.9,4,3.5,3,2015-16 School Year,5.8,4,6.8,4,6.8,4,6.2,4,4.2,4,5.1,4,7,4,"April 01, 2015",4
26Q188,27Q306,New York City Academy for Discovery,95-16 89th Avenue,"WOODHAVEN, NY 11421",District School,35,1899-12-31T08:15:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,84%,97%,95%,96%,98%,25,78%,2016-17 School Year,6.8,4,6.9,4,3.6,3,2014-15 School Year,4.2,3,6.3,4,5.4,4,4.6,3,2.7,3,3.4,3,4,3,"February 06, 2015",4
26Q191,27Q316,Queens Explorers Elementary School,90-07 101st Avenue,"OZONE PARK, NY 11416",District School,144,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,93%,99%,100%,96%,98%,135,100%,2016-17 School Year,6.8,4,6.6,4,2.8,2,2014-15 School Year,3.7,3,3.8,3,4,3,4.5,3,1.5,2,3.8,3,4,3,"April 22, 2015",4
26Q203,27Q317,Waterside Children's Studio School,190 Beach 110th Street,"FAR ROCKAWAY, NY 11694",District School,50,1899-12-31T08:00:00.000,Full day,true,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,99%,100%,100%,97%,99%,28,58%,N/A,,,,,,,2016-17 School Year,3.6,3,5.8,4,3.8,3,3.7,3,1.7,2,3,2,4.8,3,"March 11, 2015",4
26Q205,27Q333,Goldie Maple Academy,3-65 Beach 56th Street,"ARVERNE, NY 11692",District School,53,1899-12-31T08:00:00.000,Full day,true,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,65%,95%,90%,89%,89%,42,82%,2015-16 School Year,5.9,3,5.8,3,2.4,2,2014-15 School Year,2.1,1,1.5,1,1.4,1,2.4,1,1.5,2,3.3,2,1.7,1,"March 16, 2015",3
26Q213,27Q362,Wave Preparatory Elementary School,535 Briar Place,"FAR ROCKAWAY, NY 11691",District School,54,N/A,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,92%,100%,100%,95%,99%,28,55%,N/A,,,,,,,2016-17 School Year,4,3,6,4,6,4,4.6,3,2,2,3.4,3,1.7,1,"April 30, 2015",4
26Q221,28Q040,P.S. 40 Samuel Huntington,109-20 Union Hall Street,"JAMAICA, NY 11433",District School,31,1899-12-31T08:10:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,89%,97%,99%,92%,97%,27,100%,2015-16 School Year,6.6,4,6.8,4,2.5,2,2014-15 School Year,1.9,1,1.8,1,1.2,1,2.2,1,1.7,2,2.1,1,1.7,1,"November 01, 2016",3
26Q266,28Q048,P.S. 48 William Wordsworth,108-29 155th Street,"JAMAICA, NY 11433",District School,53,1899-12-31T08:20:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,84%,97%,94%,95%,96%,29,60%,2016-17 School Year,6.3,4,5.8,3,3.1,2,2014-15 School Year,5,4,6.3,4,5.8,4,4.5,3,4.3,4,4.6,3,5.7,4,"December 01, 2016",3
27Q042,28Q050,P.S. 50 Talfourd Lawn Elementary School,143-26 101st Avenue,"JAMAICA, NY 11435",District School,67,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,89%,95%,94%,97%,98%,14,23%,2016-17 School Year,6.6,4,6.4,4,2.4,2,2014-15 School Year,2.3,1,2.3,1,3.4,3,2.2,1,1.7,2,2.4,1,2,1,"January 15, 2015",3
27Q043,28Q055,P.S. 55 Maure,131-10 97th Avenue,"SOUTH RICHMOND HILL, NY 11419",District School,54,1899-12-31T08:20:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Outdoor (onsite) playspace,,96%,99%,99%,96%,100%,33,67%,2016-17 School Year,6.8,4,6.5,4,2.1,2,2015-16 School Year,4.1,3,5.8,4,6.6,4,3.9,3,2,2,3.8,3,4,3,"December 10, 2014",3
27Q045,28Q080,P.S. 80 The Thurgood Marshall Magnet School of Multimedia and Communication,171-05 137th Avenue,"JAMAICA, NY 11434",District School,40,1899-12-31T08:00:00.000,Full day,true,true,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,69%,100%,97%,94%,98%,15,47%,2015-16 School Year,6.5,4,6.8,4,3.7,3,2014-15 School Year,4.9,3,5.3,4,4.4,3,5.8,4,3.3,3,5,4,4.8,3,"February 04, 2015",3
27Q047,28Q086,P.S. 86,87-41 Parsons Boulevard,"JAMAICA, NY 11432",District School,36,N/A,Full day,false,false,Contact program directly for details,Please contact site for more information,,87%,99%,99%,95%,99%,29,81%,2016-17 School Year,6.6,4,6.3,4,2.7,2,2015-16 School Year,3.8,3,5.5,4,4.2,3,4.3,3,1.5,2,2.9,1,6,4,"March 30, 2016",4
27Q051,28Q101,P.S. 101 School in the Gardens,2 Russell Place,"FOREST HILLS, NY 11375",District School,18,N/A,Full day,true,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,93%,100%,100%,98%,100%,10,56%,2016-17 School Year,6.6,4,6.3,4,2.5,2,2015-16 School Year,4.4,3,6,4,6.4,4,4.5,3,1.8,2,3.4,3,5.8,4,"May 05, 2016",4
27Q060,28Q117,P.S. 117 J. Keld / Briarwood School,85-15 143rd Street,"JAMAICA, NY 11435",District School,70,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,90%,99%,100%,95%,99%,39,61%,2016-17 School Year,6.4,4,6.2,4,2,2,2014-15 School Year,5.6,4,6.3,4,6.8,4,6,4,3.8,4,5.3,4,5.7,4,"May 11, 2016",4
27Q062,28Q121,P.S. 121 Queens,126-10 109th Avenue,"SOUTH OZONE PARK, NY 11420",District School,36,1899-12-31T08:00:00.000,Full day,false,false,Contact program directly for details,Please contact site for more information,,95%,95%,96%,97%,96%,19,54%,2016-17 School Year,6.0,4,6.3,4,2.2,2,2015-16 School Year,3.2,2,3.8,3,3,2,3.7,3,2.5,3,2.6,1,4,3,"May 17, 2016",4
27Q063,28Q140,P.S. 140 Edward K Ellington,166-01 116th Avenue,"JAMAICA, NY 11434",District School,36,1899-12-31T08:20:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,82%,90%,93%,93%,93%,19,56%,2016-17 School Year,6.3,4,5.9,3,2.4,2,2015-16 School Year,3.6,3,5,4,4.2,3,4.3,3,1.8,2,3.5,3,1.7,1,"February 01, 2017",3
27Q066,28Q144,P.S. 144 Col Jeromus Remsen,93-02 69th Avenue,"FOREST HILLS, NY 11375",District School,54,1899-12-31T08:00:00.000,Full day,false,false,Contact program directly for details,Indoor/Outdoor (onsite) playspace,,96%,100%,96%,96%,97%,25,50%,2015-16 School Year,6.9,4,6.6,4,2.9,2,2014-15 School Year,4.5,3,7,4,7,4,4.4,3,2.7,3,3.6,3,3.7,3,"November 17, 2014",4
27Q090,28Q160,P.S. 160 Walter Francis Bishop,109-59 Inwood Street,"JAMAICA, NY 11435",District School,47,1899-12-31T08:00:00.000,Full day,true,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,93%,100%,94%,95%,98%,9,21%,2014-15 School Year,6.5,4,6.5,4,4.1,3,2015-16 School Year,5.6,4,6.8,4,6,4,5,4,5.2,4,5.8,4,6.3,4,"May 20, 2016",3
27Q096,28Q161,P.S. 161 Arthur Ashe School,101-33 124th Street,"SOUTH RICHMOND HILL, NY 11419",District School,46,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch,Please contact site for more information,,93%,97%,100%,96%,97%,25,60%,2016-17 School Year,6.5,4,6.1,4,3.1,2,2015-16 School Year,4.8,3,6.5,4,6.6,4,3.7,3,4.8,4,4.4,3,4.8,3,"November 07, 2014",4
27Q097,28Q174,P.S. 174 William Sidney Mount,65-10 Dieterle Crescent,"REGO PARK, NY 11374",District School,35,1899-12-31T08:10:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,74%,95%,95%,92%,98%,7,21%,2016-17 School Year,6.9,4,6.7,4,3.8,3,2015-16 School Year,5.2,4,6.3,4,7,4,5.1,4,3.2,3,4.4,3,7,4,"February 06, 2015",3
27Q100,28Q175,P.S. 175 The Lynn Gross Discovery School,64-35 102nd Street,"REGO PARK, NY 11374",District School,47,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,97%,100%,100%,96%,100%,19,41%,2016-17 School Year,6.9,4,6.7,4,3.6,3,2014-15 School Year,4.1,3,4.8,3,5,4,4,3,3.2,3,4.3,3,3.3,2,"January 14, 2015",3
27Q104,28Q196,P.S. 196 Grand Central Parkway,71-25 113th Street,"FOREST HILLS, NY 11375",District School,18,1899-12-31T08:40:00.000,Full day,false,false,Breakfast/Lunch,Please contact site for more information,,93%,100%,100%,95%,98%,9,50%,2016-17 School Year,6.9,4,6.7,4,3.8,3,2015-16 School Year,4.8,3,6,4,5.6,4,4.4,3,3.3,3,4.6,3,6,4,"May 31, 2016",4
27Q105,28Q206,P.S. 206 The Horace Harding School,61-02 98th Street,"REGO PARK, NY 11374",District School,36,1899-12-31T08:05:00.000,Full day,true,false,Breakfast/Lunch,Please contact site for more information,,94%,100%,100%,96%,99%,13,37%,N/A,,,,,,,2016-17 School Year,4.9,3,6,4,5.6,4,6,4,2.5,3,4.8,3,3.7,3,"December 01, 2016",3
27Q106,28Q220,P.S. 220 Edward Mandel,62-10 108th Street,"FOREST HILLS, NY 11375",District School,36,N/A,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,96%,91%,94%,93%,95%,13,38%,N/A,,,,,,,2016-17 School Year,4,3,5.5,4,4.8,3,4.4,3,2.7,3,3.1,2,4.3,3,"January 29, 2015",4
27Q108,28Q303,The Academy for Excellence through the Arts,108-55 69th Avenue,"FOREST HILLS, NY 11375",District School,36,1899-12-31T08:10:00.000,Full day,false,false,Breakfast/Lunch,Indoor,,98%,100%,99%,96%,99%,22,63%,2014-15 School Year,5.8,3,5.5,3,3.5,3,2015-16 School Year,4.1,3,6,4,6,4,4.4,3,2.3,3,3.4,3,2.7,1,"May 19, 2016",4
27Q114,28Q349,The Queens School for Leadership and Excellence,88-08 164th Street,"JAMAICA, NY 11432",District School,35,1899-12-31T08:00:00.000,Full day,false,false,Contact program directly for details,Indoor/Outdoor (onsite) playspace,,87%,93%,92%,96%,95%,25,71%,2016-17 School Year,6.6,4,6.3,4,3.2,2,2015-16 School Year,5.1,4,5.3,4,6.2,4,5.9,4,2.8,3,4.8,3,5.3,4,"May 10, 2016",4
27Q123,28Q354,P.S. 354,126-10 Bedell Street,"JAMAICA, NY 11434",District School,36,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,82%,98%,100%,95%,99%,14,40%,2016-17 School Year,6.6,4,6.1,4,3.7,3,2015-16 School Year,3.9,3,6,4,4.4,3,3.6,3,3.3,3,3.5,3,3.3,2,"January 22, 2016",3
27Q146,29Q015,P.S. 15 Jackie Robinson,121-15 Lucas Street,"SPRINGFIELD GARDENS, NY 11413",District School,26,1899-12-31T08:50:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,69%,92%,92%,95%,90%,12,50%,2016-17 School Year,6.5,4,6.1,4,2.6,2,2015-16 School Year,3.1,2,4.5,3,2.2,1,4.1,3,2.3,3,2.8,1,2.3,1,"November 01, 2016",3
27Q155,29Q034,P.S. 34 John Harvard,104-12 Springfield Boulevard,"QUEENS VILLAGE, NY 11429",District School,32,1899-12-31T08:20:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,98%,100%,100%,99%,100%,7,24%,N/A,,,,,,,2016-17 School Year,4.7,3,6,4,4.2,3,5.5,4,2.8,3,4.5,3,5,4,"December 04, 2014",3
27Q183,29Q035,P.S. 35 Nathaniel Woodhull,191-02 90th Avenue,"HOLLIS, NY 11423",District School,36,N/A,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,80%,100%,100%,97%,100%,18,51%,N/A,,,,,,,2016-17 School Year,4.9,3,6.3,4,4.6,3,5.7,4,3.3,3,4.9,3,3.7,3,"January 01, 2017",3
27Q197,29Q037,Cynthia Jenkins School,179-37 137th Avenue,"JAMAICA, NY 11434",District School,44,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,75%,98%,88%,94%,91%,18,46%,2016-17 School Year,6.8,4,6.4,4,2.9,2,2015-16 School Year,4.6,3,6.3,4,6.2,4,3.9,3,3.5,3,4.9,3,3.3,2,"November 06, 2014",4
27Q207,29Q052,P.S. 52 Queens,178-37 146th Terrace,"JAMAICA, NY 11434",District School,36,1899-12-31T08:20:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,90%,93%,94%,89%,94%,21,64%,N/A,,,,,,,2016-17 School Year,3.9,3,6.3,4,3,2,4.9,3,1.8,2,4.4,3,2.5,1,"November 14, 2014",3
27Q223,29Q116,P.S./I.S. 116 William C. Hughley,107-25 Wren Place,"JAMAICA, NY 11433",District School,54,N/A,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,90%,87%,87%,86%,87%,25,50%,2016-17 School Year,6.2,4,5.8,3,1.9,1,2015-16 School Year,3,2,3.8,3,2.8,1,3.2,2,1.7,2,3.3,2,3.3,2,"May 26, 2016",3
27Q253,29Q118,P.S. 118 Lorraine Hansberry,190-20 109th Road,"SAINT ALBANS, NY 11412",District School,31,1899-12-31T08:10:00.000,Full day,true,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,93%,98%,94%,91%,94%,16,59%,2016-17 School Year,6.7,4,6.7,4,2.7,2,2015-16 School Year,5.6,4,6.8,4,6.4,4,5.8,4,4.2,4,5.4,4,5.3,4,"April 01, 2017",3
27Q254,29Q132,P.S. 132 Ralph Bunche,132-15 218th Street,"SPRINGFIELD GARDENS, NY 11413",District School,34,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,94%,100%,100%,97%,100%,19,59%,2016-17 School Year,6.0,4,5.8,3,2.6,2,2014-15 School Year,3.6,3,4.8,3,3.6,3,4.3,3,1.7,2,4.1,3,2.7,1,"March 02, 2015",3
27Q273,29Q134,P.S. 134 Hollis,203-02 109th Avenue,"SAINT ALBANS, NY 11412",District School,20,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,70%,100%,100%,87%,92%,7,30%,2016-17 School Year,6.2,4,5.4,3,2,2,2014-15 School Year,4.1,3,3.3,2,6.2,4,3.5,3,3.5,3,4.8,3,3.3,2,"April 21, 2016",3
27Q306,29Q135,The Bellaire School,207-11 89th Avenue,"QUEENS VILLAGE, NY 11427",District School,101,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch,Indoor,,64%,99%,97%,96%,99%,47,50%,2016-17 School Year,6.5,4,6.5,4,2.6,2,2014-15 School Year,3.9,3,3.5,3,4.6,3,4.8,3,2.5,3,3.3,2,4.5,3,"May 01, 2017",3
27Q316,29Q136,P.S. 136 Roy Wilkins,201-15 115th Avenue,"SAINT ALBANS, NY 11412",District School,38,1899-12-31T08:00:00.000,Full day,true,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,92%,100%,100%,99%,100%,24,69%,2016-17 School Year,5.2,3,4.9,2,2.9,2,2014-15 School Year,5.4,4,6,4,6.8,4,5.9,4,3.7,3,5.5,4,3.7,3,"May 08, 2015",3
27Q317,29Q138,P.S./M.S. 138 Sunrise,251-11 Weller Avenue,"ROSEDALE, NY 11422",District School,34,1899-12-31T08:10:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,Dual Language (Spanish),86%,95%,100%,91%,100%,15,44%,2016-17 School Year,5.4,3,5.6,3,3.5,3,2015-16 School Year,3.9,3,4.8,3,4.2,3,5.2,4,2.3,3,3.5,3,2.7,1,"April 01, 2017",3
27Q333,29Q147,P.S./M.S. 147 Ronald Mcnair,218-01 116th Avenue,"CAMBRIA HEIGHTS, NY 11411",District School,13,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,80%,,,,,3,23%,2016-17 School Year,6.9,4,7.0,4,2.4,2,2016-17 School Year,4.5,3,5.5,4,6.8,4,4.8,3,4.2,4,3.5,3,1.7,1,"April 29, 2014",3
Z084,29Q156,P.S. 156 Laurelton,229-02 137th Avenue,"SPRINGFIELD GARDENS, NY 11413",District School,20,1899-12-31T08:20:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,96%,100%,100%,95%,100%,6,40%,2015-16 School Year,6.1,4,5.9,3,4.1,3,2014-15 School Year,3.5,3,4.8,3,3.6,3,3.8,3,2.3,3,3.8,3,2,1,"February 05, 2015",3
27Q362,29Q176,P.S. 176 Cambria Heights,120-45 235th Street,"CAMBRIA HEIGHTS, NY 11411",District School,54,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,87%,97%,98%,96%,91%,13,25%,2016-17 School Year,6.9,4,6.8,4,2.5,2,2014-15 School Year,5.3,4,7,4,5.4,4,5,4,3.7,3,5.1,4,7,4,"April 01, 2015",3
