SiteID,Program Code,Name,Site_Address 1,City_State_Zip,Program Type,Enrollment,Daily Start Time,Length of Pre-K Day,Early Drop-off Available,LATE Pick-Up Available,Meals,Playspace,DualLanguage,Collaborative Teachers - Survey Percent Positive,Site_Supportive_Environment -Survey Percent Positive,Site_Effective_Leadership - Survey Percent Positive,Site Strong Family Ties - Survey Percent Positive,Site Trust - Survey Percent Positive,Survey - # of Guardian Responses,Survey -Guardian Response Rate,CLASS Most Recent AssessmentYear,CLASS_Emotional Support Score,CLASS_Emotional Support Rating,CLASS_Classroom Organization Score,CLASS Classrooom Organization Rating,CLASS Instructional Support Score,CLASS Instructional Support Rating,ECERS Most Recent AssessmentYear,ECERS Oberservation Average Score,ECERS Observation Average Score,ECERS Language Reasoning Score,ECERS Language Reasoning Rating,ECERS Interaction Score,ECERS Interaction Rating,ECERS Activities Score,ECERS Activities Rating,ECERS Personal Care Routines Score,ECERS Personal Care Routines Rating,ECERS Space/Furnishings Score,ECERS Space/Furnishings Rating,ECERS Program Structure Score,Ecers Program Structure Rating,Quality Review - Dates_of_Review,Quality Review - How well do teachers work with each other
20K164,20K164,P.S. 164 Caesar Rodney,4211 14 Avenue,"Brooklyn, NY 11219",District School,28,12/31/1899 08:20:00 AM,Full day,No,No,Breakfast / Lunch,Outdoor (onsite) playspace,,94,1,1,0.97,0.97,15,100,2016-17 School Year,6.6,4,6.4,4,2.9,2,2017-18 School Year,4.3,3,5.5,4,5,4,5.4,4,1.7,2,3.6,3,4.5,3,03/29/2016 12:00:00 AM,4
20K179,20K179,P.S. 179 Kensington,202 AVENUE C,"Brooklyn, NY 11218",District School,36,12/31/1899 08:10:00 AM,Full day,Contact Program,Contact Program,Contact program directly for details,Please contact site for more information,,86,0.95,1,0.94,0.99,11,100,2017-18 School Year,6.9,4,6.7,4,1.9,1,2016-17 School Year,3.5,3,4.5,3,3.4,3,4.3,3,2.8,3,3.4,3,1.7,1,01/01/2017 12:00:00 AM,3
20K180,20K180,The SEEALL Academy,5601 16 Avenue,"Brooklyn, NY 11204",District School,16,12/31/1899 08:10:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,93,0.92,0.9,0.78,1,6,60,2017-18 School Year,6.9,4,6.7,4,2.8,2,2016-17 School Year,3.9,3,5.8,4,5.4,4,4.1,3,1.3,1,4,3,3,2,,
20K192,20K192,P.S. 192 - The Magnet School for Math and Science Inquiry,4715 18 Avenue,"Brooklyn, NY 11204",District School,29,12/31/1899 08:10:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,84,1,0.91,0.92,0.98,16,100,2017-18 School Year,7,4,7,4,2.3,2,2016-17 School Year,3.8,3,5.8,4,3.8,3,4.1,3,2.2,2,3.4,3,4,3,,
20K204,20K204,P.S. 204 Vince Lombardi,8101 15 Avenue,"Brooklyn, NY 11228",District School,35,12/31/1899 07:50:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,94,0.98,1,0.96,1,12,100,2017-18 School Year,7,4,6.8,4,3.4,3,2016-17 School Year,4.1,3,5.5,4,7,4,3.6,3,2.5,3,3.9,3,2.7,1,,
20K205,20K205,P.S. 205 Clarion,6701 20 Avenue,"Brooklyn, NY 11204",District School,54,12/31/1899 08:10:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,76,0.94,0.85,0.9,0.94,25,93,2016-17 School Year,6.5,4,6.6,4,2.7,2,2017-18 School Year,4.8,3,6.3,4,6.2,4,5.4,4,2,2,4.3,3,5.5,4,01/01/2018 12:00:00 AM,3
20K229,20K229,P.S. 229 Dyker,1400 BENSON AVENUE,"Brooklyn, NY 11228",District School,31,12/31/1899 08:10:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,82,0.89,0.74,0.96,0.84,9,45,2017-18 School Year,7,4,6.9,4,4.1,3,2016-17 School Year,4,3,6,4,5.2,4,4.6,3,1.3,1,4.1,3,2.7,1,,
21K090,21K090,P.S. 90 Edna Cohen School,2840 West 12 Street,"Brooklyn, NY 11224",District School,75,12/31/1899 08:00:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,Dual Language (Spanish),69,0.97,0.94,0.92,0.86,34,92,2016-17 School Year,6.7,4,6.3,4,3.7,3,2015-16 School Year,5,4,6.3,4,5.8,4,6.1,4,2.5,3,4.8,3,4.5,3,,
21K095,21K095,P.S. 095 The Gravesend,345 VAN SICKLEN STREET,"Brooklyn, NY 11223",District School,18,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,96,0.86,0.93,0.91,0.94,7,88,2017-18 School Year,6.9,4,7,4,2.9,2,2016-17 School Year,4.4,3,5.8,4,6.6,4,4.2,3,2.3,3,4.8,3,3.3,2,,
21K099,21K099,P.S. 099 Isaac Asimov,1120 East 10 Street,"Brooklyn, NY 11230",District School,36,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor,,98,1,,0.91,0.97,5,33,2017-18 School Year,7,4,6.9,4,2.9,2,2015-16 School Year,4.7,3,5.8,4,5.4,4,6.4,4,2.7,3,3.6,3,3.7,3,03/15/2016 12:00:00 AM,3
21K100,21K100,P.S. 100 The Coney Island School,2951 West 3 Street,"Brooklyn, NY 11224",District School,54,12/31/1899 08:00:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,94,0.96,0.9,0.92,0.94,25,78,2017-18 School Year,7,4,6.9,4,2.4,2,2016-17 School Year,4.3,3,5.8,4,6.4,4,4.6,3,2.7,3,3.3,2,4.3,3,04/21/2016 12:00:00 AM,4
21K153,21K153,P.S. 153 Homecrest,1970 HOMECREST AVENUE,"Brooklyn, NY 11229",District School,62,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,80,0.99,0.99,0.94,0.98,40,93,2016-17 School Year,6.4,4,5.8,3,2.3,2,2015-16 School Year,4.5,3,5.5,4,6.8,4,4.5,3,2.5,3,4.1,3,4.3,3,,
21K177,21K177,P.S. 177 The Marlboro,346 AVENUE P,"Brooklyn, NY 11204",District School,72,12/31/1899 07:50:00 AM,Full day,No,No,Breakfast / Lunch / Snack(s),Indoor/Outdoor (onsite) playspace,,95,0.94,0.99,0.95,0.94,36,92,2017-18 School Year,6.5,4,6.6,4,3.3,3,2015-16 School Year,5.1,4,6.3,4,6.4,4,6.1,4,1.3,1,5.3,4,5.3,4,01/26/2016 12:00:00 AM,3
21K188,21K188,P.S. 188 Michael E. Berdy,3314 NEPTUNE AVENUE,"Brooklyn, NY 11224",District School,30,12/31/1899 08:15:00 AM,Full day,Yes,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,63,0.89,0.85,0.92,0.87,9,64,2017-18 School Year,6.9,4,6.4,4,3,2,2017-18 School Year,2.6,1,4,3,3.4,3,2.6,1,1.2,1,2.9,1,1.8,1,10/01/2016 12:00:00 AM,3
21K199,21K199,P.S. 199 Frederick Wachtel,1100 ELM AVENUE,"Brooklyn, NY 11230",District School,35,12/31/1899 08:10:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,78,1,1,0.89,0.98,19,100,2017-18 School Year,7,4,7,4,2.3,2,2017-18 School Year,5.2,4,6,4,5.4,4,6.2,4,2.5,3,4.5,3,7,4,10/29/2015 12:00:00 AM,4
KCTG,20KCTG,Worldtots,6813 8 AVENUE,"Brooklyn, NY 11220",NYCEEC,11,12/31/1899 08:30:00 AM,Both half day and full day,Yes,Yes,Lunch / Snack(s),Please contact site for more information,,,,,,,,,N/A,,,,,,,2017-18 School Year,4.4,3,6.3,4,6.2,4,4.8,3,2.8,3,3.4,3,3.5,3,,
21K209,21K209,P.S. 209 Margaret Mead,2609 East 7 Street,"Brooklyn, NY 11235",District School,36,12/31/1899 08:20:00 AM,Full day,Contact Program,Yes,N/A,Indoor/Outdoor (onsite) playspace,,89,1,0.87,0.91,0.87,11,44,2017-18 School Year,7,4,6.8,4,1.8,1,2015-16 School Year,4,3,5.8,4,5,4,4.5,3,2,2,4,3,3,2,,
21K212,21K212,P.S. 212 Lady Deborah Moody,87 Bay 49 Street,"Brooklyn, NY 11214",District School,54,12/31/1899 08:00:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,81,0.96,0.94,0.9,0.91,27,87,2017-18 School Year,7,4,7,4,3.9,3,2015-16 School Year,3.2,2,5,4,4,3,4,3,1.8,2,2.5,1,1.7,1,05/04/2016 12:00:00 AM,4
21K215,21K215,P.S. 215 Morris H. Weiss,415 AVENUE S,"Brooklyn, NY 11223",District School,54,12/31/1899 08:00:00 AM,Full day,Contact Program,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,96,1,0.94,0.91,0.92,27,77,2016-17 School Year,6.6,4,6.4,4,3.7,3,2015-16 School Year,5.1,4,6.8,4,5.6,4,5.8,4,3.8,4,4.8,3,3.7,3,,
21K216,21K216,P.S. 216 Arturo Toscanini,350 AVENUE X,"Brooklyn, NY 11223",District School,99,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,84,0.93,0.92,0.91,0.94,73,100,2017-18 School Year,7,4,6.9,4,3.1,2,2017-18 School Year,3.5,3,5,4,5.4,4,3.3,2,2,2,3.5,3,1.7,1,04/01/2017 12:00:00 AM,3
21K225,21K225,P.S. K225 - The Eileen E. Zaglin,1075 OCEAN VIEW AVENUE,"Brooklyn, NY 11235",District School,47,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch/Snack(s),Indoor/Outdoor (offsite) playspace,,67,0.92,0.98,0.88,0.97,22,92,2017-18 School Year,7,4,7,4,2.1,2,2016-17 School Year,4.1,3,6,4,5.2,4,4.8,3,2,2,3.6,3,2.7,1,04/01/2017 12:00:00 AM,3
21K226,21K226,P.S. 226 Alfred De B. Mason,6006 23 Avenue,"Brooklyn, NY 11204",District School,54,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,N/A,Outdoor (onsite) playspace,,89,0.99,1,0.91,0.97,27,100,2017-18 School Year,7,4,7,4,2.2,2,2016-17 School Year,2.8,1,3.5,3,3.8,3,2.5,1,2,2,3,2,2.3,1,,
21K238,21K238,P.S. 238 Anne Sullivan,1633 East 8 Street,"Brooklyn, NY 11223",District School,72,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,85,1,0.98,0.92,0.97,33,100,2016-17 School Year,5.7,3,6,4,2.4,2,2015-16 School Year,4.7,3,5.5,4,6.6,4,4.6,3,4,4,3.9,3,5,4,04/21/2016 12:00:00 AM,3
21K253,21K253,P.S. 253,601 OCEAN VIEW AVENUE,"Brooklyn, NY 11235",District School,36,12/31/1899 08:00:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,98,0.97,0.94,0.96,0.97,18,78,2017-18 School Year,6.9,4,7,4,3.3,3,2016-17 School Year,5.4,4,6.3,4,6.6,4,5.9,4,3.8,4,4.8,3,6,4,,
21K288,21K288,P.S. 288 The Shirley Tanyhill,2950 West 25 Street,"Brooklyn, NY 11224",District School,29,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,71,1,1,0.96,1,5,56,2015-16 School Year,6.6,4,5.8,3,3.3,3,2016-17 School Year,3.6,3,5.5,4,2.4,1,4.7,3,2.8,3,3.6,3,1.7,1,02/01/2017 12:00:00 AM,3
21K329,21K329,P.S. 329 Surfside,2929 West 30 Street,"Brooklyn, NY 11224",District School,38,12/31/1899 08:20:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Outdoor (onsite) playspace,,78,1,0.99,0.96,0.98,17,81,2016-17 School Year,6.2,4,6.3,4,3.5,3,2017-18 School Year,3.8,3,4.8,3,5.2,4,4.3,3,2,2,2.9,1,4.3,3,12/01/2017 12:00:00 AM,3
22K052,22K052,P.S. 052 Sheepshead Bay,2675 East 29 Street,"Brooklyn, NY 11235",District School,72,12/31/1899 08:00:00 AM,Full day,Contact Program,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,92,0.98,0.98,0.94,0.99,46,100,2016-17 School Year,6.4,4,5.6,3,3.3,3,2017-18 School Year,3.9,3,4.5,3,6,4,4.2,3,2.7,3,3.3,2,3,2,,
22K109,22K109,P.S. 109,1001 East 45 Street,"Brooklyn, NY 11203",District School,28,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,69,1,0.83,0.94,0.94,13,72,2016-17 School Year,6.3,4,5.4,3,3.8,3,2017-18 School Year,5.6,4,5.3,4,6.6,4,5.7,4,3.7,3,5.8,4,7,4,10/01/2016 12:00:00 AM,2
22K119,22K119,P.S. 119 Amersfort,3829 AVENUE K,"Brooklyn, NY 11210",District School,34,12/31/1899 08:10:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,95,0.97,0.99,0.94,0.95,16,94,2016-17 School Year,6.6,4,6.1,4,3.1,2,2017-18 School Year,3.6,3,4.8,3,6.4,4,3.9,3,2,2,2.8,1,1.7,1,10/01/2017 12:00:00 AM,3
22K139,22K139,P.S. 139 Alexine A. Fenty,330 RUGBY ROAD,"Brooklyn, NY 11226",District School,69,12/31/1899 08:10:00 AM,Full day,No,No,Breakfast / Lunch,Outdoor (onsite) playspace,Dual Language (Spanish),78,0.96,0.99,0.93,0.98,23,53,2016-17 School Year,6.8,4,6.8,4,3.7,3,2017-18 School Year,3.9,3,5.5,4,4.8,3,3.2,2,2.8,3,3.6,3,5,4,11/01/2016 12:00:00 AM,3
22K152,22K152,School of Science & Technology,725 East 23 Street,"Brooklyn, NY 11210",District School,35,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Outdoor (onsite) playspace,,83,1,1,0.95,0.99,14,78,2016-17 School Year,6.7,4,6.3,4,3.8,3,2017-18 School Year,4.4,3,5.8,4,6,4,4.5,3,2.5,3,4.5,3,3.8,3,11/19/2015 12:00:00 AM,4
22K193,22K193,P.S. 193 Gil Hodges,2515 AVENUE L,"Brooklyn, NY 11210",District School,18,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,78,0.89,0.85,0.91,0.87,9,100,2017-18 School Year,6.8,4,6.7,4,2.7,2,2015-16 School Year,3.5,3,5,4,5.2,4,3.6,3,2.2,2,2.6,1,3,2,11/01/2017 12:00:00 AM,3
22K194,22K194,P.S. 194 Raoul Wallenberg,3117 AVENUE W,"Brooklyn, NY 11229",District School,54,12/31/1899 08:20:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,94,1,1,0.96,1,18,56,2015-16 School Year,6.5,4,6.9,4,3.5,3,2017-18 School Year,4.3,3,5.3,4,6,4,3.9,3,2.7,3,4.4,3,4.3,3,04/01/2017 12:00:00 AM,2
22K195,22K195,P.S. 195 Manhattan Beach,131 IRWIN STREET,"Brooklyn, NY 11235",District School,18,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor,,82,0.93,1,0.82,1,6,100,2016-17 School Year,6.6,4,6,4,3,2,2015-16 School Year,4.4,3,6,4,5.8,4,5,4,2.8,3,3.5,3,3.3,2,05/19/2016 12:00:00 AM,4
22K197,22K197,P.S. 197 - The Kings Highway Academy,1599 East 22 Street,"Brooklyn, NY 11210",District School,67,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,93,0.97,1,0.95,0.97,18,42,2016-17 School Year,6.4,4,6.3,4,3.6,3,2015-16 School Year,3.7,3,5.8,4,5.6,4,3.7,3,2.3,3,2.9,1,3,2,05/25/2016 12:00:00 AM,3
22K203,22K203,P.S. 203 Floyd Bennett School,5101 AVENUE M,"Brooklyn, NY 11234",District School,84,12/31/1899 08:00:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,84,1,0.98,0.95,0.97,34,55,2016-17 School Year,6.9,4,6.6,4,3.9,3,2017-18 School Year,4.2,3,5.3,4,5,4,5,4,2.2,2,4.1,3,2.7,1,,
22K207,22K207,P.S. 207 Elizabeth G. Leary,4011 FILLMORE AVENUE,"Brooklyn, NY 11234",District School,18,12/31/1899 08:00:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,88,,,,,1,100,2017-18 School Year,6.9,4,6.8,4,3.3,3,2016-17 School Year,4.2,3,5.5,4,4,3,4.6,3,2.8,3,3.9,3,4.5,3,,
22K217,22K217,P.S. 217 Colonel David Marcus School,1100 NEWKIRK AVENUE,"Brooklyn, NY 11230",District School,54,12/31/1899 08:00:00 AM,Full day,No,No,Breakfast / Lunch,Indoor,,91,1,1,0.94,0.96,10,100,2017-18 School Year,7,4,7,4,2.6,2,2016-17 School Year,3.7,3,4.5,3,4.6,3,4.2,3,2.7,3,3.1,2,2.7,1,,
22K236,22K236,P.S. 236 Mill Basin,6302 AVENUE U,"Brooklyn, NY 11234",District School,49,12/31/1899 08:00:00 AM,Full day,Yes,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,95,1,1,0.99,1,29,100,2017-18 School Year,6.9,4,6.8,4,3.7,3,2015-16 School Year,5.2,4,6,4,6,4,5.5,4,3.2,3,4.4,3,7,4,02/23/2016 12:00:00 AM,4
22K245,22K245,P.S. 245,249 EAST 17 STREET,"Brooklyn, NY 11226",District School,18,12/31/1899 08:10:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,99,0.95,0.56,0.88,0.61,11,100,2017-18 School Year,6.9,4,6.9,4,2.3,2,2017-18 School Year,3.2,2,4.5,3,3,2,3.7,3,1.7,2,3.5,3,2.7,1,12/01/2015 12:00:00 AM,3
22K251,22K251,P.S. 251 Paerdegat,1037 East 54 Street,"Brooklyn, NY 11234",District School,54,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,81,0.9,0.92,0.88,0.9,15,48,2017-18 School Year,6.9,4,6.7,4,3,2,2015-16 School Year,3.1,2,4.3,3,3.4,3,3.8,3,2.3,3,2.6,1,1.7,1,04/01/2018 12:00:00 AM,3
22K277,22K277,P.S. 277 Gerritsen Beach,2529 GERRITSEN AVENUE,"Brooklyn, NY 11229",District School,18,12/31/1899 08:15:00 AM,Full day,No,No,Breakfast / Lunch,Outdoor (onsite) playspace,,90,0.86,0.88,0.85,0.88,8,100,2016-17 School Year,6.7,4,5.9,3,3.3,3,2015-16 School Year,4.7,3,6.8,4,6,4,4.2,3,2.7,3,4.6,3,5.3,4,02/05/2016 12:00:00 AM,4
22K312,22K312,P.S. 312 Bergen Beach,7103 AVENUE T,"Brooklyn, NY 11234",District School,49,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,86,0.85,0.78,0.86,0.84,20,71,2016-17 School Year,6.8,4,6.7,4,3,2,2015-16 School Year,4,3,6,4,5,4,3.9,3,2.5,3,3.1,2,4.5,3,02/11/2016 12:00:00 AM,3
22K315,22K315,P.S. K315,2310 GLENWOOD ROAD,"Brooklyn, NY 11210",District School,36,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Please contact site for more information,,84,1,0.9,0.93,0.9,14,58,2015-16 School Year,6.8,4,6.3,4,3,2,2017-18 School Year,4.1,3,6.3,4,4,3,4.1,3,2.3,3,3.8,3,5,4,03/01/2018 12:00:00 AM,3
22K326,22K326,P.S. 326,1800 UTICA AVENUE,"Brooklyn, NY 11234",District School,28,12/31/1899 08:00:00 AM,Full day,Yes,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,96,,,,,4,19,2016-17 School Year,6.9,4,6.7,4,3.3,3,2017-18 School Year,4.4,3,5.5,4,6.6,4,4.6,3,2.3,3,3.8,3,4.5,3,,
22K361,22K361,P.S. 361 East Flatbush Early Childhood School,1957 Nostrand Avenue,"Brooklyn, NY 11210",District School,50,12/31/1899 08:20:00 AM,Full day,Contact Program,Contact Program,Contact program directly for details,Please contact site for more information,,75,0.85,0.78,0.94,0.89,39,95,2015-16 School Year,3.4,1,2.7,1,1.3,1,2017-18 School Year,3.4,3,3,2,6,4,3.3,2,2.7,3,2.9,1,3,2,05/01/2017 12:00:00 AM,2
23K137,23K137,P.S./I.S. 137 Rachel Jean Mitchell,121 SARATOGA AVENUE,"Brooklyn, NY 11233",District School,15,12/31/1899 08:20:00 AM,Full day,Yes,Contact Program,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,86,1,1,0.97,1,8,100,2017-18 School Year,7,4,6.8,4,4.5,3,N/A,,,,,,,,,,,,,,,03/01/2018 12:00:00 AM,2
23K155,23K155,P.S./ I.S. 155 Nicholas Herkimer,1355 HERKIMER STREET,"Brooklyn, NY 11233",District School,31,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,N/A,Outdoor (onsite) playspace,,94,1,1,0.96,1,10,59,2017-18 School Year,6.6,4,6.1,4,3.3,3,2017-18 School Year,4.4,3,5.3,4,5.6,4,4.3,3,3.7,3,3.6,3,5.3,4,01/01/2018 12:00:00 AM,2
23K156,23K156,P.S. 156 Waverly,104 SUTTER AVENUE,"Brooklyn, NY 11212",District School,46,12/31/1899 08:00:00 AM,Full day,Yes,No,Breakfast / Lunch / Snack(s),Indoor/Outdoor (onsite) playspace,,75,0.96,1,0.93,0.92,14,54,2015-16 School Year,6.7,4,6,4,3.8,3,2017-18 School Year,5.4,4,7,4,5.8,4,6.3,4,3.7,3,5.6,4,2.7,1,10/01/2017 12:00:00 AM,2
23K165,23K165,P.S. 165 Ida Posner,76 LOTT AVENUE,"Brooklyn, NY 11212",District School,24,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,N/A,Indoor/Outdoor (onsite) playspace,,95,1,0.97,0.91,0.9,16,84,2017-18 School Year,6.9,4,6.8,4,3.8,3,N/A,,,,,,,,,,,,,,,05/01/2018 12:00:00 AM,3
23K178,23K178,P.S. 178 Saint Clair Mckelway,2163 DEAN STREET,"Brooklyn, NY 11233",District School,24,12/31/1899 08:00:00 AM,Full day,Contact Program,Contact Program,Contact program directly for details,Indoor/Outdoor (onsite) playspace,,96,1,1,0.98,0.98,8,44,2017-18 School Year,6.8,4,6.6,4,2.8,2,2016-17 School Year,4,3,5.5,4,4.2,3,5.2,4,1.8,2,3,2,5,4,11/01/2016 12:00:00 AM,3
23K184,23K184,P.S. 184 Newport,273 NEWPORT STREET,"Brooklyn, NY 11212",District School,38,12/31/1899 08:20:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,73,1,1,1,1,25,100,2016-17 School Year,5.4,3,5.1,3,3.3,3,2017-18 School Year,4.3,3,6.3,4,3.4,3,5.2,4,1.8,2,4.3,3,5,4,02/01/2017 12:00:00 AM,3
23K298,23K298,P.S. 298 Dr. Betty Shabazz,85 WATKINS STREET,"Brooklyn, NY 11212",District School,30,12/31/1899 08:15:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,75,0.87,0.96,0.98,0.98,8,44,2017-18 School Year,7,4,6.7,4,2.3,2,2015-16 School Year,4.2,3,5.3,4,5.4,4,4.6,3,2.8,3,3.4,3,4.3,3,05/01/2018 12:00:00 AM,2
23K323,23K323,P.S./I.S. 323,210 CHESTER STREET,"Brooklyn, NY 11212",District School,35,12/31/1899 08:20:00 AM,Full day,Yes,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,87,1,0.98,0.98,0.97,23,100,2017-18 School Year,6.4,4,5.9,3,2.1,2,2015-16 School Year,2.4,1,3.5,3,1.8,1,3.6,3,1.2,1,2.3,1,1.3,1,02/11/2016 12:00:00 AM,4
23K327,23K327,P.S. 327 Dr. Rose B. English,111 BRISTOL STREET,"Brooklyn, NY 11212",District School,29,12/31/1899 08:15:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,86,,,,,3,16,2017-18 School Year,7,4,6.9,4,3.7,3,2015-16 School Year,3.3,2,4.5,3,3.8,3,4.2,3,1.2,1,3,2,3.3,2,11/01/2016 12:00:00 AM,3
23K401,23K401,Christopher Avenue Community School,51 CHRISTOPHER AVENUE,"Brooklyn, NY 11212",District School,29,12/31/1899 08:15:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,78,1,0.87,0.88,0.88,10,71,2017-18 School Year,6.8,4,6.7,4,2.1,2,2016-17 School Year,3.3,2,5.3,4,3.6,3,4.1,3,1.8,2,2.8,1,2.3,1,01/01/2017 12:00:00 AM,3
23K446,23K446,Riverdale Avenue Community School,76 RIVERDALE AVENUE,"Brooklyn, NY 11212",District School,34,12/31/1899 08:00:00 AM,Full day,No,No,Breakfast / Lunch,Indoor/Outdoor (onsite) playspace,,86,1,1,0.96,1,10,50,2017-18 School Year,7,4,6.6,4,1.6,1,2016-17 School Year,3.9,3,5.5,4,3.8,3,5.1,4,2.3,3,3.5,3,2.8,1,02/01/2017 12:00:00 AM,3
23K599,23K599,Brooklyn Landmark Elementary School,251 MCDOUGAL STREET,"Brooklyn, NY 11233",District School,31,12/31/1899 08:20:00 AM,Full day,Contact Program,Yes,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,99,0.96,0.96,0.96,0.96,23,100,2017-18 School Year,6.8,4,6.8,4,3.1,2,2017-18 School Year,3.5,3,4.5,3,5,4,4.1,3,2.5,3,2.9,1,1.7,1,,
24Q007,24Q007,P.S. 007 Louis F. Simeone,80-55 Cornish Avenue,"Queens, NY 11373",District School,51,12/31/1899 08:10:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Please contact site for more information,,72,0.98,0.99,0.91,1,18,100,2017-18 School Year,6.8,4,6.8,4,2.7,2,2016-17 School Year,4.7,3,6.3,4,6.6,4,5.7,4,2,2,3.9,3,3.7,3,04/01/2018 12:00:00 AM,3
24Q028,24Q028,P.S. 28 - The Thomas Emanuel Early Childhood Center,109-10 47 Avenue,"CORONA, NY 11368",District School,14,12/31/1899 08:20:00 AM,Full day,Contact Program,Contact Program,Breakfast/Lunch,Please contact site for more information,,95,1,1,0.97,1,11,92,2017-18 School Year,7,4,6.8,4,4.3,3,2017-18 School Year,5.6,4,6.3,4,6.4,4,6.3,4,4.8,4,5.4,4,3.8,3,,
24Q058,24Q058,P.S. 58 - The School of Heroes,72-24 GRAND AVENUE,"MASPETH, NY 11378",District School,36,12/31/1899 08:20:00 AM,Full day,Contact Program,Yes,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,70,,,,,4,17,2016-17 School Year,6.6,4,6.1,4,2.7,2,2015-16 School Year,4.9,3,5.3,4,6.6,4,4.6,3,4.8,4,4.1,3,5.3,4,01/01/2017 12:00:00 AM,3
